timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1669789726461,269,Go to main page,200,OK,User Journey 1-1,text,true,,4142,169,1,1,http://localhost:3000/api/v1/booksApp/books,260,0,27
1669789726738,226,Search for a book by name,200,OK,User Journey 1-1,text,true,,778,338,1,1,http://localhost:3000/api/v1/booksApp/books,224,0,0
1669789727006,224,Go to book's details,200,OK,User Journey 1-1,text,true,,819,298,1,1,http://localhost:3000/api/v1/booksApp/books/63844d2695f1b805a5bab86c,223,0,0
1669789727235,231,Add the book to basket,200,OK,User Journey 1-1,text,true,,330,334,1,1,http://localhost:3000/api/v1/booksApp/basket,230,0,0
1669789727468,215,Go to basket,200,OK,User Journey 1-1,text,true,,483,274,1,1,http://localhost:3000/api/v1/booksApp/basket,215,0,0
1669789727687,228,Submit order,200,OK,User Journey 1-1,text,true,,342,341,1,1,http://localhost:3000/api/v1/booksApp/orders,228,0,0
1669789727917,220,Go to main page,200,OK,User Journey 1-1,text,true,,3977,273,1,1,http://localhost:3000/api/v1/booksApp/books,220,0,0
1669789728139,218,Search for a book by name,200,OK,User Journey 1-1,text,true,,778,338,1,1,http://localhost:3000/api/v1/booksApp/books,218,0,0
1669789728366,218,Go to book's details,200,OK,User Journey 1-1,text,true,,819,298,1,1,http://localhost:3000/api/v1/booksApp/books/63844d2695f1b805a5bab86c,217,0,0
1669789728586,227,Add the book to basket,200,OK,User Journey 1-1,text,true,,330,334,1,1,http://localhost:3000/api/v1/booksApp/basket,219,0,0
1669789728817,214,Go to basket,200,OK,User Journey 1-1,text,true,,483,274,1,1,http://localhost:3000/api/v1/booksApp/basket,212,0,0
1669789729034,543,Submit order,200,OK,User Journey 1-1,text,true,,342,341,1,1,http://localhost:3000/api/v1/booksApp/orders,542,0,0
1669789729581,219,Go to main page,200,OK,User Journey 1-1,text,true,,3977,273,1,1,http://localhost:3000/api/v1/booksApp/books,219,0,0
1669789729803,229,Search for a book by name,200,OK,User Journey 1-1,text,true,,778,338,1,1,http://localhost:3000/api/v1/booksApp/books,229,0,0
1669789730035,217,Go to book's details,200,OK,User Journey 1-1,text,true,,819,298,1,1,http://localhost:3000/api/v1/booksApp/books/63844d2695f1b805a5bab86c,216,0,0
1669789730254,222,Add the book to basket,200,OK,User Journey 1-1,text,true,,330,334,1,1,http://localhost:3000/api/v1/booksApp/basket,219,0,0
1669789730478,216,Go to basket,200,OK,User Journey 1-1,text,true,,483,274,1,1,http://localhost:3000/api/v1/booksApp/basket,216,0,0
1669789730698,214,Submit order,200,OK,User Journey 1-1,text,true,,342,341,1,1,http://localhost:3000/api/v1/booksApp/orders,213,0,0
1669789730914,220,Go to main page,200,OK,User Journey 1-1,text,true,,3977,273,1,1,http://localhost:3000/api/v1/booksApp/books,219,0,0
1669789731137,219,Search for a book by name,200,OK,User Journey 1-1,text,true,,778,338,1,1,http://localhost:3000/api/v1/booksApp/books,219,0,0
1669789731361,216,Go to book's details,200,OK,User Journey 1-1,text,true,,819,298,1,1,http://localhost:3000/api/v1/booksApp/books/63844d2695f1b805a5bab86c,216,0,0
1669789731587,227,Add the book to basket,200,OK,User Journey 1-1,text,true,,330,334,1,1,http://localhost:3000/api/v1/booksApp/basket,227,0,0
1669789731816,213,Go to basket,200,OK,User Journey 1-1,text,true,,483,274,1,1,http://localhost:3000/api/v1/booksApp/basket,213,0,0
1669789732031,515,Submit order,200,OK,User Journey 1-1,text,true,,342,341,1,1,http://localhost:3000/api/v1/booksApp/orders,515,0,0
1669789732550,220,Go to main page,200,OK,User Journey 1-1,text,true,,3977,273,1,1,http://localhost:3000/api/v1/booksApp/books,220,0,0
1669789732772,221,Search for a book by name,200,OK,User Journey 1-1,text,true,,778,338,1,1,http://localhost:3000/api/v1/booksApp/books,221,0,0
1669789732997,215,Go to book's details,200,OK,User Journey 1-1,text,true,,819,298,1,1,http://localhost:3000/api/v1/booksApp/books/63844d2695f1b805a5bab86c,214,0,0
1669789733213,222,Add the book to basket,200,OK,User Journey 1-1,text,true,,330,334,1,1,http://localhost:3000/api/v1/booksApp/basket,217,0,0
1669789733437,231,Go to basket,200,OK,User Journey 1-1,text,true,,483,274,1,1,http://localhost:3000/api/v1/booksApp/basket,231,0,0
1669789733672,231,Submit order,200,OK,User Journey 1-1,text,true,,342,341,1,1,http://localhost:3000/api/v1/booksApp/orders,231,0,0
1669789733907,213,Go to main page,200,OK,User Journey 1-1,text,true,,3977,273,1,1,http://localhost:3000/api/v1/booksApp/books,213,0,0
1669789734121,219,Search for a book by name,200,OK,User Journey 1-1,text,true,,778,338,1,1,http://localhost:3000/api/v1/booksApp/books,218,0,0
1669789734342,216,Go to book's details,200,OK,User Journey 1-1,text,true,,819,298,1,1,http://localhost:3000/api/v1/booksApp/books/63844d2695f1b805a5bab86c,215,0,0
1669789734559,229,Add the book to basket,200,OK,User Journey 1-1,text,true,,330,334,1,1,http://localhost:3000/api/v1/booksApp/basket,223,0,0
1669789734790,231,Go to basket,200,OK,User Journey 1-1,text,true,,483,274,1,1,http://localhost:3000/api/v1/booksApp/basket,231,0,0
1669789735024,530,Submit order,200,OK,User Journey 1-1,text,true,,342,341,1,1,http://localhost:3000/api/v1/booksApp/orders,530,0,0
